shiftId,time,from,to,routeShortName
D-10-12-10-2-5-2,11:30 AM,queenstown,remarkables park,11
D-10-12-10-2-5-2,11:55 AM,remarkables park,queenstown,11
D-10-12-10-2-5-2,12:15 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,12:40 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,1:00 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,1:25 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,1:45 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,2:10 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,2:30 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,2:45 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,3:15 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,3:40 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,4:00 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,4:40 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,5:00 PM,queenstown,airport,11
D-10-12-10-2-5-2,5:40 PM,airport,queenstown,11
D-10-12-10-2-5-2,6:00 PM,queenstown,airport,11
D-10-12-10-2-5-2,6:25 PM,airport,frankton,11
D-10-12-10-2-5-2,6:45 PM,frankton ,queenstown,11
D-10-12-10-2-5-2,7:05 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,7:15 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,7:35 PM,queenstown,fernhill,9
D-10-12-10-2-5-2,7:50 PM,fernhill,queenstown,9
D-10-12-10-2-5-2,8:05 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,8:30 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,8:50 PM,queenstown,fernhill,9
D-10-12-10-2-5-2,9:20 PM,fernhill,queenstown,9
D-10-12-10-2-5-2,9:35 PM,queenstown,remarkables park,11
D-10-12-10-2-5-2,10:00 PM,remarkables park,queenstown,11
D-10-12-10-2-5-2,10:20 PM,queenstown,fernhill,9
D-10-12-10-2-5-2,10:45 PM,fernhill,queenstown,9
D-10-12-10-2-5-2,11:00 PM,queenstown,frankton,11
E-8-12-8-5,7:19 AM,frankton,remarkables park,11
E-8-12-8-5,7:30 AM,remarkables park,queenstown,11
E-8-12-8-5,7:50 AM,queenstown,sunshine bay,9
E-8-12-8-5,8:02 AM,sunshine bay,queenstown,9
E-8-12-8-5,8:20 AM,queenstown,remarkables park,11
E-8-12-8-5,8:45 PM,remarkables park,queenstown,11
E-8-12-8-5,9:00 AM,queenstown,remarkables park,11
E-8-12-8-5,9:25 AM,remarkables park,queenstown,11
E-8-12-8-5,9:45 AM,queenstown,remarkables park,11
E-8-12-8-5,10:10 AM,remarkables park,queenstown,11
E-8-12-8-5,10:30 AM,queenstown,remarkables park,11
E-8-12-8-5,10:55 AM,remarkables park,queenstown,11
E-8-12-8-5,11:15 AM,queenstown,airport,11
E-8-12-8-5,11:40 AM,airport,queenstown,11
E-8-12-8-5,12:00 PM,queenstown,remarkables park,11
E-8-12-8-5,12:25 PM,remarkables park,queenstown,11
E-8-12-8-5,12:45 PM,queenstown,airport,11
E-8-12-8-5,1:10 PM,airport,queenstown,11
E-8-12-8-5,1:30 PM,queenstown,remarkables park,11
E-8-12-8-5,1:55 PM,remarkables park,queenstown,11
E-8-12-8-5,2:15 PM,queenstown,remarkables park,11
E-8-12-8-5,2:40 PM,remarkables park,queenstown,11
E-8-12-8-5,3:00 PM,queenstown,remarkables park,11
E-8-12-8-5,3:25 PM,remarkables park,queenstown,11
E-8-12-8-5,3:45 PM,queenstown,remarkables park,11
E-8-12-8-5,4:25 PM,remarkables park,queenstown,11
E-8-12-8-5,4:45 PM,queenstown,remarkables park,11
E-8-12-8-5,5:25 PM,remarkables park,queenstown,11
E-8-12-8-5,5:45 PM,queenstown,remarkables park,11
E-8-12-8-5,6:15 PM,remarkables park,queenstown,11
E-8-12-8-5,7:05 PM,queenstown,remarkables park,11
E-8-12-8-5,7:30 PM,remarkables park,queenstown,11
E-8-12-8-5,7:50 PM,queenstown,fernhill,9
E-8-12-8-5,8:20 PM,fernhill,queenstown,9
E-8-12-8-5,8:35 PM,queenstown,remarkables park,11
E-8-12-8-5,9:00 PM,remarkables park,queenstown,11
F-9,7:20 AM,lakes hayes est,frankton,12
F-9,7:35 AM,frankton,lakes hayes,12
F-9,7:50 AM,lakes hayes est,frankton,12
F-9,8:05 AM,frankton,lakes hayes,12
F-9,8:20 AM,lakes hayes est,frankton,12
F-9,8:35 AM,frankton,kelvin heights,6
F-9,8:50 AM,kelvin heights,frankton,6
F-9,9:35 AM,frankton,arrowtown,10
F-9,10:05 AM,arrowtown,queenstown,8
F-9,10:35 AM,queenstown,arthurs point,8
F-9,11:05 AM,arrowtown,frankton,10
F-9,11:35 AM,frankton,kelvin heights,6
F-9,11:50 AM,kelvin heights,frankton,6
F-9,12:05 PM,frankton,arrowtown,10
F-9,12:35 PM,arrowtown,queenstown,8
F-9,1:05 PM,queenstown,arthurs point,8
F-9,1:35 PM,arrowtown,frankton,10
F-9,2:05 PM,frankton,arrowtown,10
F-9,2:35 PM,arrowtown,frankton,10
G-1,3:35 PM,frankton,kelvin heights,6
G-1,3:50 PM,kelvin heights,frankton,6
G-1,4:05 PM,frankton,lakes hayes,12
G-1,4:20 PM,lakes hayes,frankton,12
G-1,4:35 PM,frankton,kelvin heights,6
G-1,4:50 PM,kelvin heights,frankton,6
G-1,5:05 PM,frankton,lakes hayes,12
G-1,5:20 PM,lakes hayes,frankton,12
G-1,5:35 PM,frankton,kelvin heights,6
G-1,5:50 PM,kelvin heights,frankton,6
G-1,6:05 PM,frankton,arrowtown,10
G-1,6:35 PM,arrowtown,queenstown,8
G-1,7:05 PM,queenstown,arthurs point,8
G-1,7:35 PM,arrowtown,frankton,10
G-1,8:35 PM,frankton,arrowtown,10
G-1,9:05 PM,arrowtown,queenstown,8
G-1,9:35 PM,queenstown,arthurs point,8
